18;6;2018;2;166
19;6;2018;3;219
20;6;2018;4;168
21;6;2018;5;152
22;6;2018;6;160
23;6;2018;7;13
24;6;2018;1;19
25;6;2018;2;178
26;6;2018;3;188
27;6;2018;4;153
28;6;2018;5;173
29;6;2018;6;177
30;6;2018;7;16
1;7;2018;1;18
2;7;2018;2;252
3;7;2018;3;221
4;7;2018;4;181
5;7;2018;5;180
6;7;2018;6;155
7;7;2018;7;19
8;7;2018;1;17
9;7;2018;2;198
10;7;2018;3;208
11;7;2018;4;209
12;7;2018;5;186
13;7;2018;6;184
14;7;2018;7;25
15;7;2018;1;9
16;7;2018;2;196
17;7;2018;3;241
18;7;2018;4;202
19;7;2018;5;255
20;7;2018;6;170
21;7;2018;7;18
22;7;2018;1;12
23;7;2018;2;243
24;7;2018;3;244
25;7;2018;4;175
26;7;2018;5;231
27;7;2018;6;151
28;7;2018;7;30
29;7;2018;1;15
30;7;2018;2;223
31;7;2018;3;228
1;8;2018;4;272
2;8;2018;5;218
3;8;2018;6;203
4;8;2018;7;7
5;8;2018;1;25
6;8;2018;2;249
7;8;2018;3;174
8;8;2018;4;186
9;8;2018;5;191
10;8;2018;6;159
11;8;2018;7;15
12;8;2018;1;10
13;8;2018;2;224
14;8;2018;3;204
15;8;2018;4;126
16;8;2018;5;200
17;8;2018;6;123
18;8;2018;7;35
19;8;2018;1;12
20;8;2018;2;195
21;8;2018;3;184
22;8;2018;4;191
23;8;2018;5;181
24;8;2018;6;139
25;8;2018;7;34
26;8;2018;1;12
27;8;2018;2;212
28;8;2018;3;185
29;8;2018;4;166
30;8;2018;5;173
31;8;2018;6;202
1;9;2018;7;23
2;9;2018;1;4
3;9;2018;2;226
4;9;2018;3;225
5;9;2018;4;209
6;9;2018;5;169
7;9;2018;6;156
8;9;2018;7;7
9;9;2018;1;10
10;9;2018;2;238
11;9;2018;3;210
12;9;2018;4;174
13;9;2018;5;165
14;9;2018;6;131
15;9;2018;7;15
16;9;2018;1;9
17;9;2018;2;197
18;9;2018;3;235
19;9;2018;4;261
20;9;2018;5;171
21;9;2018;6;162
22;9;2018;7;10
23;9;2018;1;14
24;9;2018;2;205
25;9;2018;3;189
26;9;2018;4;166
27;9;2018;5;189
28;9;2018;6;168
29;9;2018;7;20
30;9;2018;1;19
1;10;2018;2;213
2;10;2018;3;211
3;10;2018;4;124
4;10;2018;5;164
5;10;2018;6;137
6;10;2018;7;27
7;10;2018;1;7
8;10;2018;2;196
9;10;2018;3;193
10;10;2018;4;202
11;10;2018;5;169
12;10;2018;6;140
13;10;2018;7;12
14;10;2018;1;13
15;10;2018;2;181
16;10;2018;3;168
17;10;2018;4;190
18;10;2018;5;171
19;10;2018;6;117
20;10;2018;7;5
21;10;2018;1;5
22;10;2018;2;168
23;10;2018;3;204
24;10;2018;4;175
25;10;2018;5;182
26;10;2018;6;163
27;10;2018;7;5
28;10;2018;1;12
29;10;2018;2;233
30;10;2018;3;218
31;10;2018;4;193
1;11;2018;5;111
2;11;2018;6;143
3;11;2018;7;6
4;11;2018;1;10
5;11;2018;2;226
6;11;2018;3;191
7;11;2018;4;205
8;11;2018;5;197
9;11;2018;6;187
10;11;2018;7;10
11;11;2018;1;11
12;11;2018;2;210
13;11;2018;3;234
14;11;2018;4;217
15;11;2018;5;198
16;11;2018;6;159
17;11;2018;7;20
18;11;2018;1;10
19;11;2018;2;264
20;11;2018;3;215
21;11;2018;4;184
22;11;2018;5;173
23;11;2018;6;162
24;11;2018;7;6
25;11;2018;1;15
26;11;2018;2;225
27;11;2018;3;253
28;11;2018;4;248
29;11;2018;5;213
30;11;2018;6;202
1;12;2018;7;46
2;12;2018;1;18
3;12;2018;2;300
4;12;2018;3;283
5;12;2018;4;212
6;12;2018;5;189
7;12;2018;6;171
8;12;2018;7;28
9;12;2018;1;18
10;12;2018;2;279
11;12;2018;3;245
12;12;2018;4;228
13;12;2018;5;209
14;12;2018;6;147
15;12;2018;7;9
16;12;2018;1;12
17;12;2018;2;260
18;12;2018;3;179
19;12;2018;4;178
20;12;2018;5;172
21;12;2018;6;128
22;12;2018;7;11
23;12;2018;1;2
24;12;2018;2;56
25;12;2018;3;24
26;12;2018;4;143
27;12;2018;5;149
28;12;2018;6;120
29;12;2018;7;20
30;12;2018;1;4
31;12;2018;2;37
1;1;2019;3;22
2;1;2019;4;292
3;1;2019;5;239
4;1;2019;6;184
5;1;2019;7;14
6;1;2019;1;5
7;1;2019;2;270
8;1;2019;3;207
9;1;2019;4;215
10;1;2019;5;238
11;1;2019;6;190
12;1;2019;7;12
13;1;2019;1;6
14;1;2019;2;236
15;1;2019;3;248
16;1;2019;4;229
17;1;2019;5;229
18;1;2019;6;175
19;1;2019;7;2
20;1;2019;1;3
21;1;2019;2;217
22;1;2019;3;246
23;1;2019;4;191
24;1;2019;5;300
25;1;2019;6;197
26;1;2019;7;42
27;1;2019;1;22
28;1;2019;2;273
29;1;2019;3;218
30;1;2019;4;192
31;1;2019;5;207
1;2;2019;6;182
2;2;2019;7;17
3;2;2019;1;7
4;2;2019;2;193
5;2;2019;3;196
6;2;2019;4;210
7;2;2019;5;181
8;2;2019;6;164
9;2;2019;7;16
10;2;2019;1;5
11;2;2019;2;223
12;2;2019;3;216
13;2;2019;4;180
14;2;2019;5;158
15;2;2019;6;186
16;2;2019;7;5
17;2;2019;1;4
18;2;2019;2;222
19;2;2019;3;142
20;2;2019;4;185
21;2;2019;5;171
22;2;2019;6;144
23;2;2019;7;8
24;2;2019;1;8
25;2;2019;2;212
26;2;2019;3;222
27;2;2019;4;184
28;2;2019;5;169
1;3;2019;6;157
2;3;2019;7;15
3;3;2019;1;7
4;3;2019;2;173
5;3;2019;3;209
6;3;2019;4;191
7;3;2019;5;191
8;3;2019;6;170
9;3;2019;7;14
10;3;2019;1;34
11;3;2019;2;193
12;3;2019;3;180
13;3;2019;4;191
14;3;2019;5;228
15;3;2019;6;190
16;3;2019;7;7
17;3;2019;1;14
18;3;2019;2;188
19;3;2019;3;193
20;3;2019;4;188
21;3;2019;5;158
22;3;2019;6;160
23;3;2019;7;8
24;3;2019;1;25
25;3;2019;2;196
26;3;2019;3;192
27;3;2019;4;226
28;3;2019;5;175
29;3;2019;6;179
30;3;2019;7;20
31;3;2019;1;8
1;4;2019;2;218
2;4;2019;3;207
3;4;2019;4;200
4;4;2019;5;211
5;4;2019;6;182
6;4;2019;7;17
7;4;2019;1;4
8;4;2019;2;216
9;4;2019;3;177
10;4;2019;4;168
11;4;2019;5;193
12;4;2019;6;146
13;4;2019;7;13
14;4;2019;1;10
15;4;2019;2;197
16;4;2019;3;170
17;4;2019;4;174
18;4;2019;5;105
19;4;2019;6;89
20;4;2019;7;3
21;4;2019;1;3
22;4;2019;2;104
23;4;2019;3;180
24;4;2019;4;165
25;4;2019;5;139
26;4;2019;6;121
27;4;2019;7;7
28;4;2019;1;11
29;4;2019;2;200
30;4;2019;3;216
1;5;2019;4;49
2;5;2019;5;176
3;5;2019;6;150
4;5;2019;7;7
5;5;2019;1;18
6;5;2019;2;205
7;5;2019;3;184
8;5;2019;4;170
9;5;2019;5;165
10;5;2019;6;133
11;5;2019;7;9
12;5;2019;1;4
13;5;2019;2;223
14;5;2019;3;185
15;5;2019;4;205
16;5;2019;5;179
17;5;2019;6;168
18;5;2019;7;18
19;5;2019;1;10
20;5;2019;2;280
21;5;2019;3;207
22;5;2019;4;186
23;5;2019;5;140
24;5;2019;6;183
25;5;2019;7;11
26;5;2019;1;19
27;5;2019;2;190
28;5;2019;3;162
29;5;2019;4;224
30;5;2019;5;137
31;5;2019;6;155
1;6;2019;7;11
2;6;2019;1;25
3;6;2019;2;206
4;6;2019;3;198
5;6;2019;4;218
6;6;2019;5;215
7;6;2019;6;199
8;6;2019;7;10
9;6;2019;1;14
10;6;2019;2;106
11;6;2019;3;196
12;6;2019;4;153
13;6;2019;5;226
14;6;2019;6;190
15;6;2019;7;33
16;6;2019;1;20
17;6;2019;2;238
18;6;2019;3;288
19;6;2019;4;162
20;6;2019;5;180
21;6;2019;6;202
22;6;2019;7;10
23;6;2019;1;8
24;6;2019;2;234
25;6;2019;3;217
26;6;2019;4;269
27;6;2019;5;211
28;6;2019;6;162
29;6;2019;7;45
30;6;2019;1;6
1;7;2019;2;234
2;7;2019;3;204
3;7;2019;4;211
4;7;2019;5;187
5;7;2019;6;152
6;7;2019;7;11
7;7;2019;1;18
8;7;2019;2;199
9;7;2019;3;176
10;7;2019;4;187
11;7;2019;5;202
12;7;2019;6;162
13;7;2019;7;9
14;7;2019;1;14
15;7;2019;2;260
16;7;2019;3;208
17;7;2019;4;177
18;7;2019;5;130
19;7;2019;6;195
20;7;2019;7;18
21;7;2019;1;11
22;7;2019;2;218
23;7;2019;3;193
24;7;2019;4;174
25;7;2019;5;177
26;7;2019;6;121
27;7;2019;7;12
28;7;2019;1;5
29;7;2019;2;190
30;7;2019;3;164
31;7;2019;4;156
1;8;2019;5;170
2;8;2019;6;216
3;8;2019;7;24
4;8;2019;1;14
5;8;2019;2;220
6;8;2019;3;211
7;8;2019;4;182
8;8;2019;5;293
9;8;2019;6;290
10;8;2019;7;20
11;8;2019;1;4
12;8;2019;2;221
13;8;2019;3;211
14;8;2019;4;199
15;8;2019;5;162
16;8;2019;6;107
17;8;2019;7;6
18;8;2019;1;10
19;8;2019;2;179
20;8;2019;3;181
21;8;2019;4;172
22;8;2019;5;127
23;8;2019;6;114
24;8;2019;7;6
25;8;2019;1;9
26;8;2019;2;203
27;8;2019;3;176
28;8;2019;4;181
29;8;2019;5;172
30;8;2019;6;160
31;8;2019;7;11
1;9;2019;1;6
2;9;2019;2;175
3;9;2019;3;197
4;9;2019;4;214
5;9;2019;5;200
6;9;2019;6;136
7;9;2019;7;7
8;9;2019;1;8
9;9;2019;2;215
10;9;2019;3;206
11;9;2019;4;186
12;9;2019;5;215
13;9;2019;6;154
14;9;2019;7;5
15;9;2019;1;7
16;9;2019;2;175
17;9;2019;3;189
18;9;2019;4;161
19;9;2019;5;329
20;9;2019;6;129
21;9;2019;7;9
22;9;2019;1;6
23;9;2019;2;221
24;9;2019;3;209
25;9;2019;4;167
26;9;2019;5;168
27;9;2019;6;149
28;9;2019;7;9
29;9;2019;1;9
30;9;2019;2;213
1;10;2019;3;192
2;10;2019;4;147
3;10;2019;5;115
4;10;2019;6;155
5;10;2019;7;7
6;10;2019;1;8
7;10;2019;2;159
8;10;2019;3;172
9;10;2019;4;166
10;10;2019;5;176
11;10;2019;6;123
12;10;2019;7;11
13;10;2019;1;11
14;10;2019;2;176
15;10;2019;3;171
16;10;2019;4;184
17;10;2019;5;149
18;10;2019;6;145
19;10;2019;7;8
20;10;2019;1;19
21;10;2019;2;219
22;10;2019;3;187
23;10;2019;4;199
24;10;2019;5;202
25;10;2019;6;127
26;10;2019;7;12
27;10;2019;1;1
28;10;2019;2;167
29;10;2019;3;185
30;10;2019;4;181
31;10;2019;5;182
1;11;2019;6;99
2;11;2019;7;8
3;11;2019;1;28
4;11;2019;2;223
5;11;2019;3;220
6;11;2019;4;209
7;11;2019;5;198
8;11;2019;6;195
9;11;2019;7;18
10;11;2019;1;9
11;11;2019;2;196
12;11;2019;3;218
13;11;2019;4;225
14;11;2019;5;205
15;11;2019;6;174
16;11;2019;7;25
17;11;2019;1;10
18;11;2019;2;198
19;11;2019;3;222
20;11;2019;4;192
21;11;2019;5;149
22;11;2019;6;231
23;11;2019;7;38
24;11;2019;1;37
25;11;2019;2;235
26;11;2019;3;207
27;11;2019;4;216
28;11;2019;5;157
29;11;2019;6;151
30;11;2019;7;11
1;12;2019;1;25
2;12;2019;2;295
3;12;2019;3;204
4;12;2019;4;202
5;12;2019;5;182
6;12;2019;6;125
7;12;2019;7;19
8;12;2019;1;6
9;12;2019;2;167
10;12;2019;3;199
11;12;2019;4;190
12;12;2019;5;148
13;12;2019;6;134
14;12;2019;7;21
15;12;2019;1;15
16;12;2019;2;191
17;12;2019;3;180
18;12;2019;4;172
19;12;2019;5;169
20;12;2019;6;161
21;12;2019;7;9
22;12;2019;1;8
23;12;2019;2;118
24;12;2019;3;53
25;12;2019;4;26
26;12;2019;5;75
27;12;2019;6;88
28;12;2019;7;9
29;12;2019;1;4
30;12;2019;2;110
31;12;2019;3;38
